Phase Number,Phase Name,Comic Name,Comic Link on LoCG
I,THE SILVER & BRONZE AGE FORMATIONS,Fantastic Four Epic Collection: The World's Greatest Comic Magazine,https://leagueofcomicgeeks.com/comic/6948838/fantastic-four-epic-collection-the-worlds-greatest-comic-magazine-tp
I,THE SILVER & BRONZE AGE FORMATIONS,Fantastic Four Epic Collection: The Master Plan of Doctor Doom,https://leagueofcomicgeeks.com/comic/3464929/fantastic-four-epic-collection-the-master-plan-of-doctor-doom-tp
I,THE SILVER & BRONZE AGE FORMATIONS,The Avengers Omnibus Vol. 1,https://leagueofcomicgeeks.com/comic/5296680/the-avengers-omnibus-vol-1-hc
I,THE SILVER & BRONZE AGE FORMATIONS,The X-Men Omnibus Vol. 1,https://leagueofcomicgeeks.com/comic/4646630/x-men-omnibus-vol-1-hc
I,THE SILVER & BRONZE AGE FORMATIONS,The Amazing Spider-Man Omnibus Vol. 1,https://leagueofcomicgeeks.com/comic/6124176/the-amazing-spider-man-omnibus-vol-1-hc
I,THE SILVER & BRONZE AGE FORMATIONS,Fantastic Four Epic Collection: The Coming of Galactus,https://leagueofcomicgeeks.com/comic/1148394/fantastic-four-epic-collection-the-coming-of-galactus-tp
I,THE SILVER & BRONZE AGE FORMATIONS,The Avengers Omnibus Vol. 2,https://leagueofcomicgeeks.com/comic/2772231/the-avengers-omnibus-vol-2-hc
I,THE SILVER & BRONZE AGE FORMATIONS,The X-Men Omnibus Vol. 2,https://leagueofcomicgeeks.com/comic/7482127/x-men-omnibus-vol-2-hc
I,THE SILVER & BRONZE AGE FORMATIONS,The Amazing Spider-Man Omnibus Vol. 2,https://leagueofcomicgeeks.com/comic/3973023/the-amazing-spider-man-omnibus-vol-2-hc?variant=1338085
I,THE SILVER & BRONZE AGE FORMATIONS,Silver Surfer Epic Collection: When Calls Galactus,https://leagueofcomicgeeks.com/comic/2087898/silver-surfer-epic-collection-when-calls-galactus-tp?variant=1143367
I,THE SILVER & BRONZE AGE FORMATIONS,Guardians of the Galaxy Epic Collection: Earth Shall Overcome,https://leagueofcomicgeeks.com/comic/2547471/guardians-of-the-galaxy-epic-collection-earth-shall-overcome-tp
I,THE SILVER & BRONZE AGE FORMATIONS,Spider-Man: Blue,https://leagueofcomicgeeks.com/comic/6858951/spider-man-blue-tp?variant=6520685
I,THE SILVER & BRONZE AGE FORMATIONS,Luke Cage Epic Collection: Retribution,https://leagueofcomicgeeks.com/comic/7133406/luke-cage-epic-collection-retribution-tp
I,THE SILVER & BRONZE AGE FORMATIONS,The Avengers Omnibus Vol. 3,https://leagueofcomicgeeks.com/comic/3857489/the-avengers-omnibus-vol-3-hc
I,THE SILVER & BRONZE AGE FORMATIONS,The Avengers: The Kree-Skrull War,https://leagueofcomicgeeks.com/comic/4886955/the-avengers-the-kree-skrull-war-tp
I,THE SILVER & BRONZE AGE FORMATIONS,The Amazing Spider-Man Omnibus Vol. 3,https://leagueofcomicgeeks.com/comic/2862196/the-amazing-spider-man-omnibus-vol-3-hc?variant=4027141
I,THE SILVER & BRONZE AGE FORMATIONS,The Defenders Omnibus Vol. 1,https://leagueofcomicgeeks.com/comic/7451388/the-defenders-omnibus-vol-1-hc
I,THE SILVER & BRONZE AGE FORMATIONS,Iron Fist Epic Collection: The Fury of Iron Fist,https://leagueofcomicgeeks.com/comic/5084369/iron-fist-epic-collection-the-fury-of-iron-fist-tp?variant=8090570
I,THE SILVER & BRONZE AGE FORMATIONS,Adam Warlock Omnibus,https://leagueofcomicgeeks.com/comic/2824462/adam-warlock-omnibus-hc?variant=5695699
I,THE SILVER & BRONZE AGE FORMATIONS,The Amazing Spider-Man Omnibus Vol. 4,https://leagueofcomicgeeks.com/comic/8544293/the-amazing-spider-man-omnibus-vol-4-hc
I,THE SILVER & BRONZE AGE FORMATIONS,Nova: Richard Rider Omnibus,https://leagueofcomicgeeks.com/comic/4708153/nova-richard-rider-omnibus-hc
I,THE SILVER & BRONZE AGE FORMATIONS,The Defenders Omnibus Vol. 2,https://leagueofcomicgeeks.com/comic/2262152/the-defenders-omnibus-vol-2-hc
I,THE SILVER & BRONZE AGE FORMATIONS,Guardians of the Galaxy Epic Collection: Quest for the Shield,https://leagueofcomicgeeks.com/comic/4175298/guardians-of-the-galaxy-epic-collection-quest-for-the-shield-tp
I,THE SILVER & BRONZE AGE FORMATIONS,The Amazing Spider-Man Omnibus Vol. 5,https://leagueofcomicgeeks.com/comic/6013864/the-amazing-spider-man-omnibus-vol-5-hc?variant=5960005
I,THE SILVER & BRONZE AGE FORMATIONS,The Avengers Omnibus Vol. 4,https://leagueofcomicgeeks.com/comic/9997732/the-avengers-omnibus-vol-4-hc
I,THE SILVER & BRONZE AGE FORMATIONS,The Avengers Omnibus Vol. 5,https://leagueofcomicgeeks.com/comic/7552595/the-avengers-omnibus-vol-5-hc
I,THE SILVER & BRONZE AGE FORMATIONS,The Avengers Omnibus Vol. 6,https://leagueofcomicgeeks.com/comic/4201771/the-avengers-omnibus-vol-6-hc
